RecordID,Date,Region,Platform,AudienceCount,EngagementRate,ConversionRate,AnomalyDetected,ModelUsed,ForecastError,RetrainingRequired,APIIntegration,FeatureEngineeringScore
32,2020-03-31,North America,Mobile App,66725,7.45,3.1,False,SARIMA,4.68,False,Successful,75.0
33,2023-03-11,Australia,Social Media,85654,1.78,4.02,False,SARIMA,7.65,False,Successful,68.2
34,2022-08-08,South America,Mobile App,36773,2.03,2.16,False,ARIMA,12.95,False,Successful,71.6
35,2023-10-31,Asia,Mobile App,68435,8.92,3.93,False,Prophet,6.26,True,Successful,69.4
36,2023-08-29,Asia,Email,57886,7.52,2.32,False,LSTM,11.16,False,Successful,98.0
37,2021-06-23,Africa,Website,67803,9.09,4.71,False,Prophet,12.85,True,Successful,88.4
38,2022-04-01,Asia,Mobile App,32551,7.61,2.44,False,LSTM,4.66,False,Successful,60.4
39,2022-08-02,Africa,Mobile App,12394,6.01,2.32,False,SARIMA,5.9,False,Successful,69.2
40,2021-12-08,Australia,Email,70092,6.58,3.93,True,Prophet,5.35,False,Successful,77.2
41,2023-08-07,North America,Mobile App,4890,8.9,4.11,True,Prophet,12.49,False,Successful,80.6
42,2022-02-24,Europe,Mobile App,42606,5.83,2.78,False,Prophet,0.67,False,Successful,73.4
43,2020-05-12,Asia,Mobile App,97276,6.36,0.91,False,SARIMA,4.63,False,Successful,90.5
44,2023-07-01,North America,Email,81038,1.65,2.34,False,Prophet,10.19,True,Successful,88.4
45,2021-10-20,Asia,Email,88313,4.79,4.84,False,SARIMA,8.49,False,Successful,75.3
46,2020-07-19,Europe,Email,11627,7.19,3.77,False,Prophet,6.55,False,Successful,92.7
47,2022-07-10,Europe,Social Media,9792,2.78,4.06,False,ARIMA,8.1,False,Successful,87.6
48,2023-02-25,South America,Social Media,74969,2.1,0.17,False,Prophet,2.97,False,Successful,88.9
49,2023-09-28,Europe,Website,44001,3.21,2.34,False,Prophet,6.47,True,Failed,97.8
50,2023-11-20,North America,Email,77552,2.49,3.24,False,SARIMA,7.53,False,Successful,63.3
51,2023-11-06,Europe,Email,24897,2.23,4.15,False,LSTM,13.52,False,Successful,63.4
52,2020-03-20,Africa,Website,69148,4.31,0.26,False,SARIMA,3.92,False,Successful,94.4
53,2022-08-10,South America,Email,24483,9.09,4.26,False,ARIMA,13.02,True,Successful,88.6
54,2021-05-23,North America,Mobile App,49555,5.12,2.75,False,LSTM,9.67,False,Successful,96.3
55,2021-06-24,Asia,Website,18159,1.96,0.99,False,ARIMA,0.31,False,Successful,53.2
56,2023-11-18,Europe,Mobile App,81077,0.86,1.59,True,Prophet,10.87,False,Successful,81.4
57,2020-11-26,Africa,Social Media,36920,6.99,1.42,False,ARIMA,0.54,False,Successful,57.2
58,2022-10-05,Africa,Mobile App,93067,3.89,2.66,False,ARIMA,14.96,True,Successful,75.2
59,2020-03-19,Asia,Website,68121,8.24,0.27,False,Prophet,13.09,False,Successful,57.8
60,2021-10-08,Australia,Mobile App,70479,6.63,0.8,True,Prophet,4.47,False,Successful,56.4
61,2021-12-02,South America,Website,90475,7.98,4.07,False,ARIMA,3.87,False,Successful,50.6
62,2021-02-10,Australia,Social Media,20457,2.79,0.67,False,Prophet,5.73,False,Successful,81.5
63,2023-06-30,Africa,Mobile App,67557,6.95,1.17,False,ARIMA,5.35,False,Failed,68.0
64,2022-03-24,Asia,Website,78189,2.71,2.27,False,Prophet,5.59,True,Successful,55.3
65,2022-10-08,Asia,Website,79953,9.4,2.59,False,SARIMA,4.78,False,Successful,66.1
66,2021-08-01,South America,Mobile App,53995,6.4,3.82,False,SARIMA,9.32,False,Successful,58.4
67,2020-12-04,North America,Website,41757,3.31,2.24,False,Prophet,2.47,False,Successful,97.1
68,2023-01-03,Europe,Social Media,10692,2.77,3.95,False,Prophet,12.69,False,Successful,66.0
69,2020-12-27,Africa,Social Media,46758,1.99,3.1,False,SARIMA,12.19,False,Successful,66.7
70,2023-01-07,Australia,Social Media,73409,6.98,0.57,False,SARIMA,7.15,True,Successful,92.0
71,2020-11-25,South America,Mobile App,72211,2.27,0.79,False,SARIMA,12.79,False,Successful,82.4
72,2022-03-30,Australia,Mobile App,66697,5.99,2.19,False,SARIMA,3.71,False,Successful,85.5
73,2021-04-01,Australia,Social Media,38065,2.72,1.99,False,ARIMA,0.27,False,Successful,81.8
74,2022-03-02,Australia,Email,93093,6.65,3.72,False,ARIMA,9.29,True,Successful,97.3
75,2023-11-13,Africa,Website,33606,8.17,2.91,False,Prophet,6.87,False,Successful,60.4
76,2020-01-07,Asia,Social Media,12534,7.8,1.95,False,SARIMA,8.51,True,Successful,99.5
77,2021-08-10,North America,Mobile App,95663,7.63,0.86,False,Prophet,13.49,True,Successful,91.5
78,2020-04-20,Africa,Mobile App,41397,1.96,1.14,False,Prophet,14.55,False,Successful,79.4
79,2020-02-12,Australia,Mobile App,92387,0.98,2.88,False,LSTM,9.52,True,Successful,83.1
80,2022-11-12,South America,Website,2016,7.02,2.12,False,Prophet,11.46,True,Successful,82.4
81,2023-07-31,Asia,Website,90789,3.75,2.58,False,LSTM,1.27,False,Successful,52.9
82,2022-09-29,South America,Email,56591,4.38,0.86,False,LSTM,2.42,False,Successful,60.9
83,2023-04-17,Australia,Email,90812,0.41,3.32,False,Prophet,11.0,False,Successful,98.1
84,2022-04-10,South America,Social Media,24247,2.67,4.26,False,LSTM,6.48,False,Successful,76.7
85,2022-02-03,Africa,Mobile App,25300,0.43,1.3,False,ARIMA,6.7,True,Successful,68.9
86,2022-05-02,North America,Website,75065,8.8,2.46,False,ARIMA,4.64,False,Successful,88.1
87,2020-03-07,South America,Email,83798,2.51,4.88,False,Prophet,9.11,False,Successful,76.2
88,2023-04-27,Africa,Email,10268,5.62,1.67,False,ARIMA,2.79,False,Successful,50.7
89,2022-12-04,South America,Social Media,87807,0.49,2.98,False,Prophet,9.41,False,Successful,86.8
90,2021-11-28,Australia,Mobile App,13185,6.7,0.46,False,Prophet,2.62,False,Successful,86.6
91,2022-04-10,North America,Email,64704,3.3,3.03,False,ARIMA,0.97,False,Successful,58.3
92,2021-07-27,Africa,Email,87779,8.99,0.46,False,Prophet,4.96,False,Successful,97.8
93,2021-12-26,Europe,Mobile App,40099,8.89,4.8,False,Prophet,3.47,True,Successful,61.2
94,2022-04-09,Africa,Website,9571,3.32,3.58,False,Prophet,13.34,False,Successful,72.9
95,2023-06-10,Europe,Mobile App,39044,9.02,3.94,False,SARIMA,0.83,False,Successful,55.7
96,2022-10-06,Asia,Email,52214,9.96,3.52,False,SARIMA,2.66,False,Successful,80.2
97,2020-12-10,Asia,Social Media,62228,8.27,2.95,False,SARIMA,8.24,False,Successful,68.8
98,2022-01-04,South America,Mobile App,49984,8.46,2.26,False,SARIMA,7.22,False,Successful,67.7
99,2023-03-28,North America,Mobile App,41774,2.57,4.29,False,SARIMA,0.7,False,Successful,91.3
100,2021-07-09,Europe,Social Media,3568,5.81,4.78,False,SARIMA,0.12,False,Successful,50.5
101,2023-08-28,Asia,Email,63592,0.77,2.5,False,LSTM,14.82,False,Successful,89.9
102,2021-08-28,North America,Website,68563,1.04,4.66,False,LSTM,9.89,False,Successful,78.6
103,2021-10-11,Africa,Website,3695,9.99,2.92,False,SARIMA,5.49,False,Successful,99.3
104,2023-12-10,Africa,Email,49190,3.33,2.7,False,Prophet,7.06,False,Failed,79.5
105,2021-08-18,Europe,Email,6258,7.51,2.28,False,SARIMA,4.01,False,Successful,52.8
106,2020-10-29,North America,Mobile App,88538,8.09,1.05,False,Prophet,5.18,False,Successful,52.5
107,2021-02-21,Europe,Social Media,40504,8.59,0.03,False,SARIMA,9.74,False,Failed,94.2
108,2023-11-15,North America,Social Media,34159,9.98,1.22,True,Prophet,13.24,False,Failed,92.1
109,2020-01-04,Australia,Email,14986,2.49,2.55,False,Prophet,2.77,False,Successful,67.3
110,2020-07-02,North America,Email,62858,0.5,1.91,False,SARIMA,12.61,False,Successful,80.9
111,2020-06-06,Asia,Social Media,13666,4.17,2.25,True,ARIMA,1.83,False,Successful,74.5
112,2022-11-14,Africa,Website,39660,1.39,4.9,False,LSTM,3.23,False,Successful,98.4
113,2021-03-23,North America,Social Media,4561,0.32,1.76,False,LSTM,0.57,False,Successful,97.5
114,2021-12-14,Africa,Mobile App,27854,3.67,2.27,False,ARIMA,2.12,False,Successful,99.2
115,2020-08-03,Australia,Website,65505,7.86,0.68,False,SARIMA,13.76,False,Successful,93.3
116,2021-08-30,South America,Email,53251,5.71,0.25,False,ARIMA,6.9,False,Successful,95.5
117,2022-04-01,South America,Email,23662,3.2,3.88,False,ARIMA,1.17,False,Successful,60.9
118,2020-05-06,Australia,Email,9392,6.58,2.86,False,ARIMA,14.4,True,Successful,91.6
119,2021-02-19,South America,Mobile App,31535,2.4,3.81,False,Prophet,13.19,False,Successful,85.4
120,2022-02-26,Europe,Mobile App,79603,0.24,0.76,False,ARIMA,11.32,False,Failed,98.1
121,2023-12-01,North America,Social Media,53256,7.67,2.86,False,LSTM,14.0,True,Successful,78.6
122,2022-12-04,North America,Social Media,90135,6.28,1.28,False,ARIMA,3.31,False,Successful,54.3
123,2021-06-07,Asia,Mobile App,36222,7.65,1.15,True,ARIMA,12.55,False,Successful,79.9
124,2023-03-15,Africa,Website,78373,0.49,0.07,False,ARIMA,10.35,False,Successful,84.3
125,2023-07-04,North America,Email,80575,8.39,0.66,False,ARIMA,13.05,False,Successful,61.0
126,2021-12-06,North America,Mobile App,97354,6.23,1.55,False,Prophet,11.96,False,Successful,69.7
127,2020-03-04,North America,Mobile App,85651,5.68,0.59,False,LSTM,5.2,False,Successful,79.9
128,2022-09-03,North America,Social Media,64335,6.28,4.93,False,ARIMA,11.62,False,Successful,68.7
129,2021-07-17,Africa,Email,11965,8.66,1.55,False,Prophet,3.94,False,Failed,68.7
130,2021-12-23,South America,Website,25538,5.91,0.66,False,LSTM,4.94,True,Successful,56.7
131,2022-12-07,North America,Mobile App,71592,5.85,1.0,False,LSTM,1.63,False,Successful,97.0
132,2021-01-17,Asia,Social Media,99018,9.91,2.94,False,ARIMA,14.03,False,Failed,87.5
133,2020-08-18,Australia,Website,9110,7.59,0.33,False,SARIMA,4.37,True,Successful,50.1
134,2021-08-07,Africa,Social Media,80309,4.48,4.31,False,SARIMA,7.81,False,Successful,88.3
135,2022-12-15,Africa,Email,28266,7.1,4.81,False,Prophet,5.88,True,Failed,87.0
136,2021-11-10,Europe,Website,53992,3.95,1.24,False,SARIMA,14.4,False,Failed,50.5
137,2021-02-11,Europe,Email,83948,2.37,2.26,False,LSTM,5.03,False,Successful,68.5
138,2020-06-02,Asia,Website,99806,6.01,0.12,False,LSTM,11.68,False,Successful,80.3
139,2020-05-04,Europe,Website,7910,9.29,3.21,False,LSTM,12.83,False,Successful,72.6
140,2022-04-28,Africa,Social Media,91982,9.3,2.08,False,Prophet,6.54,False,Successful,88.9
141,2021-07-24,Australia,Email,1206,3.48,1.36,False,Prophet,5.68,False,Successful,71.3
142,2022-02-08,North America,Website,88054,5.32,1.04,False,SARIMA,11.22,False,Successful,57.7
143,2020-12-05,Africa,Mobile App,88897,2.2,3.27,False,ARIMA,13.69,True,Successful,98.8
144,2022-01-31,Australia,Social Media,24419,9.96,2.09,False,LSTM,11.33,False,Successful,62.1
145,2023-09-08,Asia,Website,51636,9.81,0.91,False,Prophet,3.41,False,Successful,85.9
146,2023-12-19,Europe,Mobile App,51015,6.53,3.45,False,SARIMA,13.33,False,Successful,57.2
147,2021-08-10,Europe,Website,55268,8.06,2.83,False,Prophet,5.82,False,Successful,66.5
148,2023-09-28,North America,Website,88939,7.18,4.29,True,ARIMA,8.65,False,Successful,72.1
149,2022-12-13,Australia,Website,19141,5.97,0.6,False,Prophet,12.47,True,Successful,59.6
150,2023-06-09,Asia,Email,81356,0.63,3.93,False,SARIMA,2.83,True,Successful,72.5
151,2022-11-11,Africa,Mobile App,72910,4.6,3.37,False,ARIMA,11.77,False,Successful,57.9
152,2022-07-12,Asia,Mobile App,57044,6.78,0.58,False,LSTM,8.95,False,Successful,78.0
153,2020-07-15,South America,Mobile App,68214,6.81,3.48,False,Prophet,13.4,True,Successful,83.2
154,2021-08-16,Asia,Website,34827,3.79,2.21,False,SARIMA,2.59,True,Successful,53.1
155,2020-01-24,Africa,Email,56820,9.42,4.73,False,ARIMA,6.32,False,Successful,93.6
156,2020-04-24,Europe,Social Media,63623,1.76,0.72,False,LSTM,12.49,True,Successful,59.3
157,2022-01-16,Australia,Website,82734,5.05,3.22,False,ARIMA,0.3,False,Successful,61.3
158,2021-10-08,Australia,Social Media,76450,6.94,1.92,False,ARIMA,1.69,False,Successful,83.1
159,2021-11-01,Europe,Social Media,94426,7.0,4.78,False,LSTM,14.86,False,Failed,73.4
160,2023-08-01,North America,Mobile App,23299,6.52,1.66,False,Prophet,4.21,False,Successful,75.0
161,2022-04-10,Africa,Social Media,44585,2.83,4.81,False,Prophet,14.63,False,Successful,56.4
162,2023-09-20,North America,Website,65044,1.65,4.51,False,LSTM,2.75,False,Successful,90.3
163,2021-07-18,South America,Mobile App,43557,6.4,1.36,False,ARIMA,5.42,False,Successful,80.9
164,2020-06-06,Europe,Mobile App,50080,6.03,4.02,False,Prophet,11.3,True,Successful,56.8
165,2021-02-23,Africa,Social Media,3693,1.88,4.98,False,ARIMA,9.87,False,Successful,68.7
166,2022-04-07,Africa,Social Media,96003,7.08,1.27,False,Prophet,8.72,False,Successful,90.5
167,2021-01-30,Asia,Website,96259,4.61,2.19,False,LSTM,7.95,False,Successful,78.4
168,2022-03-24,Africa,Social Media,70163,6.71,2.61,False,LSTM,12.65,False,Failed,55.4
169,2023-03-07,Europe,Social Media,26939,8.39,1.48,False,ARIMA,3.53,True,Successful,68.6
170,2020-03-14,Asia,Social Media,49925,1.78,0.09,False,Prophet,6.64,False,Successful,62.1
171,2020-12-17,North America,Website,43941,0.29,1.11,True,Prophet,2.34,True,Successful,75.9
172,2023-01-15,Europe,Website,22834,7.81,1.42,False,Prophet,8.94,False,Failed,92.2
173,2022-10-06,Asia,Mobile App,19047,6.14,2.22,False,LSTM,3.77,True,Successful,71.8
174,2023-12-08,Europe,Mobile App,27105,7.03,0.86,False,ARIMA,5.01,False,Successful,71.7
175,2023-06-05,Australia,Mobile App,76766,8.4,4.37,False,Prophet,7.07,False,Successful,95.3
176,2021-07-02,Africa,Email,16707,8.05,3.53,False,ARIMA,0.41,True,Successful,78.8
177,2022-12-10,Europe,Website,22976,9.61,0.44,False,LSTM,1.39,False,Successful,78.3
178,2021-11-25,Asia,Email,45262,5.41,3.25,False,Prophet,10.29,False,Successful,63.1
179,2022-09-27,Europe,Social Media,24776,4.94,3.27,False,LSTM,6.44,True,Successful,80.4
180,2023-05-22,North America,Mobile App,31080,4.08,4.78,False,ARIMA,12.97,False,Successful,78.8
181,2021-06-03,Australia,Email,67842,1.62,0.03,False,ARIMA,10.42,False,Successful,69.8
182,2020-03-09,Europe,Email,62373,5.77,1.25,False,Prophet,0.13,True,Failed,99.5
183,2023-01-05,Asia,Social Media,7776,2.84,4.64,False,Prophet,9.25,False,Successful,94.1
184,2022-11-05,Europe,Social Media,93787,9.22,4.66,False,Prophet,1.41,False,Successful,87.5
185,2021-08-13,Australia,Mobile App,56016,5.87,3.61,False,ARIMA,11.72,False,Successful,76.9
186,2021-05-27,Africa,Social Media,10474,5.97,3.83,False,SARIMA,14.87,False,Successful,73.1
187,2020-05-29,North America,Website,59053,3.61,0.47,False,ARIMA,7.97,False,Successful,59.2
188,2021-06-26,Asia,Email,22959,0.61,2.57,False,LSTM,10.24,False,Successful,65.3
189,2020-01-03,Asia,Social Media,6530,0.41,1.17,False,LSTM,3.57,False,Successful,88.7
190,2021-05-05,South America,Email,95856,4.29,0.91,False,SARIMA,6.57,False,Successful,72.7
191,2020-06-05,Asia,Website,4748,0.94,4.05,False,LSTM,12.84,False,Successful,94.1
192,2021-05-21,Australia,Website,98504,6.11,0.68,False,Prophet,2.52,False,Successful,57.4
193,2020-08-24,North America,Website,99098,8.82,2.35,False,ARIMA,3.99,True,Failed,75.4
194,2022-10-13,Africa,Email,14545,8.84,4.69,True,ARIMA,6.69,True,Successful,82.3
195,2021-01-07,South America,Website,67199,6.62,0.94,False,ARIMA,10.69,False,Successful,75.8
196,2020-04-17,Africa,Mobile App,35766,2.19,4.89,False,SARIMA,5.64,False,Successful,94.5
197,2020-08-27,Asia,Social Media,74530,8.64,4.97,False,Prophet,13.92,False,Successful,99.5
198,2020-01-02,Africa,Website,94557,8.87,2.78,False,Prophet,1.43,True,Successful,55.8
199,2022-08-05,Africa,Social Media,62087,2.05,0.86,False,Prophet,5.57,False,Successful,56.5
200,2022-05-26,South America,Email,96839,7.4,1.59,False,LSTM,10.64,False,Successful,56.5
201,2023-01-16,Asia,Website,69840,2.94,2.13,False,Prophet,3.4,False,Successful,84.1
202,2022-01-25,Australia,Social Media,55384,8.05,1.55,False,Prophet,9.85,False,Successful,68.6
203,2023-07-31,Africa,Website,52005,9.97,1.41,False,ARIMA,2.47,False,Successful,86.7
204,2023-01-15,Australia,Email,47576,0.4,4.86,False,ARIMA,0.85,False,Successful,70.3
205,2021-08-31,North America,Email,40353,8.98,0.78,False,SARIMA,1.82,True,Successful,81.4
206,2023-08-06,South America,Social Media,63003,6.26,3.67,False,ARIMA,13.95,False,Successful,88.5
207,2020-04-02,South America,Social Media,84211,9.74,0.01,False,LSTM,8.28,False,Successful,77.4
208,2020-04-30,Australia,Website,53733,4.7,2.98,False,Prophet,11.95,False,Failed,77.0
209,2020-06-10,South America,Website,66318,8.49,4.58,False,LSTM,5.0,False,Successful,54.4
210,2022-06-24,Africa,Website,90474,0.72,1.45,False,LSTM,8.89,False,Successful,70.5
211,2022-03-23,Australia,Social Media,24664,3.42,0.94,False,LSTM,7.43,False,Successful,77.3
212,2021-10-19,North America,Website,68172,0.76,3.26,False,ARIMA,14.19,False,Successful,73.1
213,2022-04-06,North America,Social Media,86616,9.76,3.57,False,SARIMA,11.22,False,Successful,95.0
214,2022-06-26,Asia,Social Media,94264,8.19,3.44,False,LSTM,10.96,False,Successful,95.3
215,2023-12-30,Australia,Mobile App,27736,8.54,1.6,False,ARIMA,0.7,False,Successful,91.1
216,2021-07-22,Africa,Website,95209,9.39,1.27,False,SARIMA,8.25,False,Successful,68.8
217,2022-11-26,Australia,Mobile App,1854,0.94,4.78,False,LSTM,7.01,True,Successful,85.9
218,2020-11-30,Australia,Mobile App,91084,3.92,4.62,False,Prophet,13.92,True,Failed,69.8
219,2023-10-05,North America,Website,39623,0.8,2.29,False,Prophet,3.87,False,Successful,61.6
220,2023-06-13,North America,Social Media,8392,2.19,4.23,False,ARIMA,4.05,False,Successful,67.1
221,2021-11-04,Asia,Website,56680,2.37,2.27,False,LSTM,6.18,False,Failed,53.5
222,2023-08-26,South America,Mobile App,47717,4.74,2.13,False,Prophet,3.66,False,Successful,66.6
223,2020-09-07,North America,Social Media,88092,2.76,0.79,False,SARIMA,1.95,False,Failed,73.0
224,2023-05-02,Europe,Mobile App,51859,1.1,2.14,False,LSTM,12.86,True,Successful,97.8
225,2020-10-30,North America,Social Media,27309,1.76,2.69,False,ARIMA,8.38,False,Successful,65.7
226,2023-10-18,South America,Mobile App,88455,1.56,0.12,False,ARIMA,12.92,False,Successful,95.1
227,2022-11-30,Africa,Social Media,64734,9.73,2.23,False,LSTM,12.47,False,Failed,61.4
228,2020-06-24,Africa,Mobile App,71467,7.62,3.91,False,ARIMA,4.24,False,Successful,59.5
229,2021-11-11,South America,Mobile App,53662,9.68,3.4,False,LSTM,8.22,False,Successful,75.9
230,2023-03-26,South America,Mobile App,99506,4.45,3.18,False,ARIMA,1.26,False,Failed,83.6
231,2020-04-29,Europe,Website,13688,2.86,4.55,False,SARIMA,13.73,False,Successful,52.2
232,2023-02-12,North America,Social Media,26342,8.0,0.1,False,LSTM,6.07,False,Successful,61.1
233,2020-05-08,South America,Social Media,38157,3.33,2.79,False,SARIMA,5.91,True,Failed,72.8
234,2021-05-24,Europe,Social Media,68863,3.06,3.94,False,LSTM,4.55,False,Successful,66.6
235,2021-02-22,Africa,Mobile App,53083,2.4,2.71,False,Prophet,6.92,False,Successful,85.6
236,2021-09-29,Europe,Social Media,66733,1.38,1.63,False,SARIMA,3.78,False,Successful,75.6
237,2021-04-26,North America,Website,90045,2.64,0.69,False,SARIMA,5.63,False,Failed,58.0
238,2022-06-23,Australia,Email,35698,3.62,4.44,False,LSTM,12.0,False,Successful,94.7
239,2020-07-24,Asia,Website,81623,6.77,2.36,False,Prophet,12.52,False,Successful,64.6
240,2021-03-14,South America,Email,23671,0.72,4.39,False,SARIMA,4.57,False,Successful,86.6
241,2020-07-26,Europe,Social Media,26184,2.18,2.93,False,Prophet,7.04,False,Successful,89.0
242,2022-06-03,Asia,Website,94384,8.11,3.37,False,SARIMA,13.11,True,Successful,98.2
243,2020-06-01,Australia,Email,43107,1.55,4.02,False,SARIMA,0.8,False,Successful,74.9
244,2021-12-04,Africa,Social Media,87202,3.49,3.3,True,Prophet,13.34,False,Successful,80.8
245,2022-10-17,Asia,Social Media,52663,8.66,2.0,False,SARIMA,3.3,False,Successful,66.7
246,2021-11-03,Africa,Website,16708,1.63,2.57,False,ARIMA,10.18,False,Successful,83.9
247,2021-08-16,Europe,Email,92906,0.92,4.02,False,LSTM,8.74,True,Failed,73.2
248,2021-01-26,Europe,Mobile App,50811,4.9,1.87,False,SARIMA,8.3,False,Successful,71.9
249,2020-12-02,Asia,Mobile App,3811,3.09,1.95,False,Prophet,12.89,False,Successful,92.8
250,2021-02-21,Europe,Email,57250,5.68,0.49,False,SARIMA,1.53,False,Successful,52.5
251,2020-02-10,South America,Email,73082,8.06,4.57,False,SARIMA,5.21,False,Successful,94.1
252,2023-10-17,Africa,Website,35754,1.46,0.46,False,Prophet,8.08,True,Successful,92.6
253,2021-08-05,Europe,Mobile App,96742,5.85,3.24,False,Prophet,12.17,False,Successful,75.3
254,2022-06-25,North America,Website,12411,5.1,2.07,False,ARIMA,3.25,False,Successful,74.5
255,2020-05-21,North America,Email,3911,1.53,2.03,False,LSTM,12.05,False,Successful,68.1
256,2022-12-04,Australia,Mobile App,68270,6.28,3.4,False,LSTM,6.0,False,Successful,99.7
257,2023-02-21,Europe,Social Media,84763,2.81,0.34,False,LSTM,2.84,False,Successful,55.6
258,2020-04-14,North America,Mobile App,9680,4.93,2.97,False,ARIMA,11.39,False,Successful,79.5
259,2021-02-01,North America,Social Media,85896,0.91,3.86,False,LSTM,1.37,False,Successful,84.1
260,2020-04-18,Australia,Social Media,84879,4.65,4.14,False,ARIMA,7.73,False,Successful,96.7
261,2020-09-16,Europe,Social Media,72295,3.13,0.86,False,Prophet,0.97,True,Successful,89.0
262,2021-06-20,Africa,Website,89614,8.24,4.49,False,ARIMA,5.35,False,Successful,82.2
263,2020-01-13,South America,Email,12111,0.66,3.28,False,ARIMA,9.02,False,Successful,55.8
264,2020-02-13,Australia,Email,38504,4.24,4.41,False,SARIMA,8.35,False,Successful,68.7
265,2021-12-11,North America,Email,2802,4.64,2.43,False,ARIMA,6.08,False,Successful,56.9
266,2020-02-13,Asia,Email,9155,7.28,2.71,False,ARIMA,6.44,False,Successful,94.1
267,2023-09-24,South America,Social Media,74656,5.79,4.6,False,Prophet,3.41,False,Successful,87.5
268,2020-05-15,Australia,Email,40384,6.71,4.5,True,Prophet,6.84,False,Failed,87.9
269,2021-05-26,Australia,Email,48254,7.79,2.25,False,ARIMA,14.3,True,Successful,82.6
270,2020-03-18,Australia,Email,22918,8.64,1.38,False,Prophet,12.76,False,Successful,75.4
271,2021-01-13,North America,Website,86981,3.21,1.97,False,LSTM,2.19,False,Successful,57.5
272,2020-02-10,Asia,Website,61713,5.43,1.94,False,Prophet,0.46,False,Successful,66.5
273,2021-11-02,Europe,Mobile App,31306,8.42,1.44,False,LSTM,14.0,False,Successful,56.8
274,2022-01-11,Asia,Website,17646,9.9,1.35,False,LSTM,7.91,False,Successful,86.2
275,2020-11-12,Europe,Social Media,47843,8.91,4.31,False,SARIMA,8.07,True,Successful,58.0
276,2023-04-15,Australia,Social Media,97601,3.78,0.36,False,SARIMA,11.71,False,Successful,85.1
277,2020-01-14,Asia,Website,91735,2.03,3.39,False,SARIMA,4.73,False,Successful,84.6
278,2020-07-17,Australia,Mobile App,17371,4.94,0.87,False,SARIMA,7.23,False,Successful,73.0
279,2023-05-14,Africa,Website,78371,7.44,1.73,False,Prophet,14.53,False,Successful,56.8
